Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
,No,Travel_Rarely,1305,Research & Development,,4,Life Sciences,1,518,,Male,49,3,2.0,Manufacturing Director,2,Single,4197,21123.0,2,Y,Yes,12,3,4,80,0,18,2.0,2,,0,,1
43.0,No,Travel_Rarely,982,Research & Development,12.0,3,Life Sciences,1,520,,Male,59,2,,Research Director,2,Divorced,14336,4345.0,1,Y,No,11,3,3,80,1,25,3.0,3,,10,3.0,9
40.0,No,Travel_Rarely,555,Research & Development,,3,Medical,1,521,,Female,78,2,2.0,Laboratory Technician,3,,3448,13436.0,6,Y,No,22,4,2,80,1,20,3.0,3,1.0,0,0.0,0
,No,Travel_Rarely,821,Research & Development,5.0,2,Medical,1,522,,Male,86,3,,Research Director,1,Married,19406,,4,Y,No,11,3,3,80,1,24,4.0,2,,2,1.0,2
,No,Non-Travel,1381,Sales,,4,Marketing,1,523,3.0,Female,72,3,2.0,Sales Executive,3,Married,6538,,9,Y,No,15,3,1,80,1,6,,3,3.0,2,,2
31.0,No,Travel_Rarely,480,Research & Development,,2,Medical,1,524,,Female,31,3,,Manufacturing Director,1,,4306,4156.0,1,Y,No,12,3,2,80,1,13,,1,13.0,10,3.0,12
43.0,No,Travel_Frequently,313,Research & Development,21.0,3,Medical,1,525,,Male,61,3,1.0,Laboratory Technician,4,,2258,15238.0,7,Y,No,20,4,1,80,1,8,,3,,2,,2
43.0,No,Travel_Rarely,1473,Research & Development,8.0,4,Other,1,526,3.0,Female,74,3,2.0,Healthcare Representative,3,Divorced,4522,,4,Y,Yes,14,3,4,80,0,8,3.0,3,,2,,2
,No,Travel_Rarely,891,Sales,4.0,2,Life Sciences,1,527,2.0,Female,99,2,2.0,Sales Executive,4,,4487,12090.0,1,Y,Yes,11,3,2,80,0,5,3.0,3,5.0,4,1.0,3
,No,Non-Travel,1063,Research & Development,,5,Medical,1,529,2.0,Female,72,3,,Research Scientist,3,,4449,,3,Y,Yes,15,3,1,80,2,15,,3,,11,10.0,7
31.0,No,Travel_Rarely,329,Research & Development,,2,Life Sciences,1,530,4.0,Male,98,2,1.0,Laboratory Technician,1,,2218,16193.0,1,Y,No,12,3,3,80,1,4,,3,4.0,2,,2
39.0,No,Travel_Frequently,1218,Research & Development,,1,Life Sciences,1,531,2.0,Male,52,3,5.0,Manager,3,,19197,8213.0,1,Y,Yes,14,3,3,80,1,21,3.0,3,21.0,8,1.0,6
,No,Travel_Frequently,906,Sales,6.0,3,Life Sciences,1,532,3.0,Female,86,4,,Sales Executive,1,Married,13212,,9,Y,No,11,3,4,80,3,36,0.0,2,,7,7.0,7
,No,Travel_Rarely,1082,Sales,12.0,3,Technical Degree,1,533,2.0,Female,83,3,,Sales Executive,3,,6577,19558.0,0,Y,No,11,3,2,80,0,6,,3,,4,4.0,4
,No,Travel_Rarely,645,Sales,,3,Marketing,1,534,2.0,Male,49,4,3.0,Sales Executive,1,Married,8392,19566.0,1,Y,No,16,3,3,80,1,10,,3,10.0,7,,7
,No,Travel_Rarely,1300,Research & Development,,2,Medical,1,536,,Male,79,3,,Laboratory Technician,1,Divorced,4558,13535.0,1,Y,No,12,3,4,80,1,10,2.0,3,10.0,0,,8
25.0,Yes,Travel_Rarely,688,Research & Development,3.0,3,Medical,1,538,1.0,Male,91,3,,Laboratory Technician,1,Married,4031,9396.0,5,Y,No,13,3,3,80,1,6,5.0,3,2.0,2,,2
52.0,No,Travel_Rarely,319,Research & Development,3.0,3,Medical,1,543,,Male,39,2,3.0,Manufacturing Director,3,Married,7969,19609.0,2,Y,Yes,14,3,3,80,0,28,,3,5.0,4,0.0,4
45.0,No,Travel_Rarely,192,Research & Development,,2,Life Sciences,1,544,1.0,Male,69,3,1.0,Research Scientist,4,Married,2654,9655.0,3,Y,No,21,4,4,80,2,8,,2,2.0,2,,2
52.0,No,Travel_Rarely,1490,Research & Development,,2,Life Sciences,1,546,4.0,Female,30,3,,Manager,4,Married,16555,10310.0,2,Y,No,13,3,4,80,0,31,,1,5.0,2,1.0,4
42.0,No,Travel_Frequently,532,Research & Development,29.0,2,Life Sciences,1,547,1.0,Female,92,3,2.0,Research Scientist,3,,4556,12932.0,2,Y,No,11,3,2,80,1,19,,3,,4,,2
30.0,No,Travel_Rarely,317,Research & Development,2.0,3,Life Sciences,1,548,,Female,43,1,2.0,Manufacturing Director,4,Single,6091,24793.0,2,Y,No,20,4,3,80,0,11,2.0,3,5.0,4,0.0,2
60.0,No,Travel_Rarely,422,Research & Development,,3,Life Sciences,1,549,,Female,41,3,5.0,Manager,1,Married,19566,3854.0,5,Y,No,11,3,4,80,0,33,5.0,1,29.0,8,11.0,10
46.0,No,Travel_Rarely,1485,Research & Development,,3,Medical,1,550,3.0,Female,87,3,,Manufacturing Director,3,Divorced,4810,,2,Y,No,14,3,3,80,1,19,5.0,2,10.0,7,,8
,No,Travel_Frequently,1368,Research & Development,,4,Technical Degree,1,551,4.0,Female,88,2,,Healthcare Representative,4,,4523,4386.0,0,Y,No,11,3,4,80,3,7,4.0,4,6.0,5,,4
24.0,Yes,Travel_Rarely,1448,Sales,1.0,1,Technical Degree,1,554,1.0,Female,62,3,1.0,Sales Representative,2,,3202,,1,Y,Yes,16,3,2,80,0,6,4.0,3,5.0,3,,4
34.0,Yes,Travel_Frequently,296,Sales,6.0,2,Marketing,1,555,4.0,Female,33,1,1.0,Sales Representative,3,Divorced,2351,12253.0,0,Y,No,16,3,4,80,1,3,3.0,2,,2,1.0,0
38.0,No,Travel_Frequently,1490,Research & Development,,2,Life Sciences,1,556,,Male,42,3,1.0,Laboratory Technician,4,,1702,12106.0,1,Y,Yes,23,4,3,80,1,1,3.0,3,,0,0.0,0
40.0,No,Travel_Rarely,1398,Sales,,4,Life Sciences,1,558,3.0,Female,79,3,5.0,Manager,3,Married,18041,13022.0,0,Y,No,14,3,4,80,0,21,2.0,3,20.0,15,,12
,No,Travel_Rarely,1349,Research & Development,,3,Life Sciences,1,560,1.0,Female,90,3,,Research Scientist,4,Divorced,2886,,1,Y,No,22,4,2,80,2,3,3.0,1,,2,0.0,2
,No,Non-Travel,1400,Research & Development,3.0,3,Life Sciences,1,562,3.0,Male,53,3,1.0,Laboratory Technician,4,Married,2097,,4,Y,No,15,3,3,80,1,9,3.0,1,,3,,4
,No,Travel_Rarely,986,Research & Development,3.0,4,Medical,1,564,,Male,93,2,3.0,Research Director,3,,11935,,1,Y,No,18,3,3,80,0,10,2.0,3,10.0,2,0.0,7
29.0,Yes,Travel_Rarely,408,Research & Development,,5,Technical Degree,1,565,,Female,71,2,1.0,Research Scientist,2,,2546,,5,Y,No,16,3,2,80,0,6,,4,2.0,2,1.0,1
19.0,Yes,Travel_Rarely,489,Human Resources,,2,Technical Degree,1,566,,Male,52,2,1.0,Human Resources,4,Single,2564,18437.0,1,Y,No,12,3,3,80,0,1,3.0,4,1.0,0,,0
30.0,No,Non-Travel,1398,Sales,,4,Other,1,567,3.0,Female,69,3,3.0,Sales Executive,1,,8412,2890.0,0,Y,No,11,3,3,80,0,10,,3,9.0,8,7.0,8
57.0,No,Travel_Rarely,210,Sales,29.0,3,Marketing,1,568,,Male,56,2,4.0,Manager,4,Divorced,14118,,3,Y,No,12,3,3,80,1,32,,2,1.0,0,0.0,0
,No,Travel_Rarely,1099,Research & Development,,4,Life Sciences,1,569,2.0,Male,88,2,4.0,Manager,3,Married,17046,9314.0,0,Y,No,15,3,2,80,1,28,2.0,3,27.0,10,,7
30.0,No,Non-Travel,1116,Research & Development,2.0,3,Medical,1,571,3.0,Female,49,3,1.0,Laboratory Technician,4,,2564,,0,Y,No,14,3,3,80,0,12,,2,11.0,7,6.0,7
60.0,No,Travel_Frequently,1499,Sales,,3,Marketing,1,573,,Female,80,2,,Sales Executive,1,,10266,2845.0,4,Y,No,19,3,4,80,0,22,5.0,4,18.0,13,13.0,11
,No,Travel_Rarely,983,Research & Development,2.0,2,Medical,1,574,1.0,Female,65,3,2.0,Manufacturing Director,4,,5070,7389.0,5,Y,No,13,3,3,80,3,20,2.0,3,,0,,4
46.0,No,Travel_Rarely,1009,Research & Development,2.0,3,Life Sciences,1,575,1.0,Male,51,3,,Research Director,3,,17861,,6,Y,No,13,3,3,80,0,26,2.0,1,3.0,2,,1
,No,Travel_Rarely,144,Research & Development,22.0,3,Life Sciences,1,577,4.0,Male,46,1,,Laboratory Technician,3,,4230,19225.0,0,Y,No,15,3,3,80,0,6,2.0,3,5.0,4,,3
54.0,No,Travel_Rarely,548,Research & Development,8.0,4,Life Sciences,1,578,3.0,Female,42,3,,Laboratory Technician,3,,3780,23428.0,7,Y,No,11,3,3,80,0,19,3.0,3,,0,0.0,0
34.0,No,Travel_Rarely,1303,Research & Development,2.0,4,Life Sciences,1,579,4.0,Male,62,2,,Research Scientist,3,,2768,,3,Y,No,12,3,3,80,1,14,,3,7.0,3,5.0,7
46.0,No,Travel_Rarely,1125,Sales,10.0,3,Marketing,1,580,,Female,94,2,,Sales Executive,4,Married,9071,,2,Y,Yes,19,3,3,80,1,15,3.0,3,3.0,2,1.0,2
,No,Travel_Rarely,1274,Research & Development,,1,Life Sciences,1,581,3.0,Male,33,3,,Manufacturing Director,2,Divorced,10648,14394.0,1,Y,No,25,4,4,80,1,13,,4,,8,0.0,8
,Yes,Travel_Rarely,1277,Research & Development,,1,Medical,1,582,,Male,56,3,,Manager,3,Married,13610,24619.0,7,Y,Yes,12,3,4,80,0,15,2.0,4,7.0,6,7.0,7
,Yes,Travel_Rarely,587,Research & Development,10.0,1,Medical,1,584,,Male,38,1,1.0,Laboratory Technician,4,Divorced,3408,6705.0,7,Y,No,13,3,1,80,3,8,2.0,3,4.0,3,,3
,No,Travel_Rarely,413,Sales,7.0,1,Marketing,1,585,4.0,Male,57,3,1.0,Sales Representative,2,Single,2983,18398.0,0,Y,No,14,3,1,80,0,4,3.0,3,,2,1.0,2
35.0,No,Travel_Rarely,1276,Research & Development,,3,Life Sciences,1,586,4.0,Male,72,3,3.0,Healthcare Representative,3,,7632,,4,Y,Yes,12,3,3,80,0,10,2.0,3,8.0,7,,0
31.0,Yes,Travel_Frequently,534,Research & Development,20.0,3,Life Sciences,1,587,1.0,Male,66,3,3.0,Healthcare Representative,3,Married,9824,,3,Y,No,12,3,1,80,0,12,2.0,3,,0,0.0,0
,Yes,Travel_Frequently,988,Human Resources,23.0,3,Human Resources,1,590,,Female,43,3,3.0,Human Resources,1,Divorced,9950,11533.0,9,Y,Yes,15,3,3,80,3,11,,3,3.0,2,0.0,2
42.0,No,Travel_Frequently,1474,Research & Development,5.0,2,Other,1,591,2.0,Male,97,3,1.0,Laboratory Technician,3,Married,2093,9260.0,4,Y,No,17,3,4,80,1,8,,3,2.0,2,,0
,No,Non-Travel,635,Sales,10.0,4,Medical,1,592,2.0,Male,32,3,3.0,Sales Executive,4,Single,9980,15318.0,1,Y,No,14,3,4,80,0,10,3.0,2,10.0,3,,7
,Yes,Travel_Frequently,1368,Research & Development,4.0,1,Technical Degree,1,593,,Male,99,2,,Laboratory Technician,3,,3894,,5,Y,No,16,3,3,80,0,4,,3,2.0,2,1.0,2
,No,Travel_Rarely,163,Sales,2.0,5,Marketing,1,595,,Female,37,3,2.0,Sales Executive,4,,4051,19658.0,2,Y,No,14,3,1,80,1,14,,3,9.0,7,6.0,7
,No,Travel_Rarely,1117,Sales,18.0,5,Life Sciences,1,597,1.0,Female,83,3,,Manager,2,Single,16835,9873.0,3,Y,No,23,4,4,80,0,37,2.0,3,,9,7.0,7
41.0,No,Non-Travel,267,Sales,10.0,2,Life Sciences,1,599,,Male,56,3,2.0,Sales Executive,4,Single,6230,13430.0,7,Y,No,14,3,4,80,0,16,3.0,3,14.0,3,,10
35.0,No,Travel_Rarely,619,Sales,1.0,3,Marketing,1,600,2.0,Male,85,3,2.0,Sales Executive,3,Married,4717,,9,Y,No,11,3,3,80,0,15,2.0,3,11.0,9,6.0,9
40.0,No,Travel_Rarely,302,Research & Development,,3,Life Sciences,1,601,,Female,75,3,4.0,Manufacturing Director,3,,13237,20364.0,7,Y,No,15,3,3,80,0,22,3.0,3,20.0,6,5.0,13
39.0,No,Travel_Frequently,443,Research & Development,8.0,1,Life Sciences,1,602,,Female,48,3,,Laboratory Technician,3,Married,3755,17872.0,1,Y,No,11,3,1,80,1,8,,3,8.0,3,,7
31.0,No,Travel_Rarely,828,Sales,,1,Life Sciences,1,604,,Male,77,3,2.0,Sales Executive,4,Single,6582,8346.0,4,Y,Yes,13,3,3,80,0,10,2.0,4,6.0,5,0.0,5
42.0,No,Travel_Rarely,319,Research & Development,24.0,3,Medical,1,605,,Male,56,3,,Manufacturing Director,1,,7406,,1,Y,Yes,21,4,4,80,1,10,5.0,2,,9,,8
,No,Travel_Rarely,561,Sales,,3,Other,1,606,,Male,61,3,2.0,Sales Executive,2,Married,4805,,0,Y,No,19,3,2,80,1,9,,4,,7,,7
26.0,Yes,Travel_Frequently,426,Human Resources,,4,Life Sciences,1,608,,Female,58,3,1.0,Human Resources,3,Divorced,2741,,0,Y,Yes,11,3,2,80,1,8,,2,7.0,7,1.0,0
29.0,No,Travel_Rarely,232,Research & Development,19.0,3,Technical Degree,1,611,4.0,Male,34,3,2.0,Manufacturing Director,4,Divorced,4262,,4,Y,No,12,3,2,80,2,8,2.0,4,3.0,2,,2
33.0,No,Travel_Rarely,922,Research & Development,,5,Medical,1,612,1.0,Female,95,4,4.0,Research Director,3,,16184,22578.0,4,Y,No,19,3,3,80,1,10,2.0,3,6.0,1,0.0,5
31.0,No,Travel_Rarely,688,Sales,,3,Life Sciences,1,613,3.0,Male,44,2,3.0,Manager,4,,11557,25291.0,9,Y,No,21,4,3,80,1,10,3.0,2,5.0,4,0.0,1
,Yes,Travel_Frequently,1306,Sales,5.0,3,Marketing,1,614,,Male,69,3,1.0,Sales Representative,2,,1878,8059.0,1,Y,Yes,14,3,4,80,0,0,3.0,3,0.0,0,,0
40.0,No,Non-Travel,1094,Sales,,3,Other,1,615,3.0,Male,58,1,3.0,Sales Executive,1,Divorced,10932,11373.0,3,Y,No,15,3,3,80,1,20,,3,1.0,0,0.0,1
,No,Non-Travel,509,Research & Development,2.0,4,Other,1,616,1.0,Female,62,2,,Healthcare Representative,3,Single,6811,2112.0,2,Y,Yes,17,3,1,80,0,10,3.0,3,8.0,7,0.0,7
26.0,No,Travel_Rarely,775,Sales,,2,Medical,1,618,,Male,45,3,2.0,Sales Executive,3,,4306,4267.0,5,Y,No,12,3,1,80,2,8,5.0,3,0.0,0,0.0,0
,No,Travel_Rarely,195,Sales,1.0,3,Medical,1,620,,Female,80,3,,Sales Executive,3,,4859,,1,Y,No,16,3,4,80,0,5,3.0,3,,4,0.0,3
,No,Travel_Rarely,258,Sales,,4,Life Sciences,1,621,,Male,74,4,2.0,Sales Executive,4,Single,5337,19921.0,1,Y,No,12,3,4,80,0,10,,3,10.0,7,,7
26.0,Yes,Travel_Rarely,471,Research & Development,,3,Technical Degree,1,622,,Male,66,1,1.0,Laboratory Technician,4,Single,2340,,1,Y,Yes,18,3,2,80,0,1,3.0,1,1.0,0,,0
,No,Travel_Rarely,799,Research & Development,1.0,3,Technical Degree,1,623,,Female,59,3,,Manufacturing Director,4,Single,7491,23848.0,4,Y,No,17,3,4,80,0,12,,4,6.0,5,,2
46.0,No,Travel_Frequently,1034,Research & Development,18.0,1,Medical,1,624,1.0,Female,86,3,,Healthcare Representative,3,,10527,,5,Y,No,11,3,4,80,0,28,,2,,2,1.0,2
41.0,No,Travel_Rarely,1276,Sales,2.0,5,Life Sciences,1,625,,Female,91,3,,Manager,1,Married,16595,5626.0,7,Y,No,16,3,2,80,1,22,,3,,16,,8
,No,Non-Travel,142,Sales,,4,Medical,1,626,,Male,69,3,,Sales Executive,2,,8834,,1,Y,No,13,3,4,80,1,9,,3,,5,7.0,7
52.0,No,Travel_Rarely,956,Research & Development,6.0,2,Technical Degree,1,630,4.0,Male,78,3,,Research Scientist,1,,5577,,3,Y,Yes,12,3,2,80,2,18,3.0,3,10.0,9,,9
,Yes,Non-Travel,1474,Sales,,4,Other,1,631,,Male,60,4,,Sales Executive,3,Married,4707,,8,Y,No,12,3,4,80,0,6,2.0,3,4.0,2,,2
,No,Travel_Frequently,535,Sales,24.0,3,Medical,1,632,4.0,Male,38,3,,Sales Representative,4,Married,2400,5530.0,0,Y,No,13,3,3,80,2,3,3.0,3,2.0,2,2.0,1
38.0,No,Travel_Rarely,1495,Research & Development,10.0,3,Medical,1,634,3.0,Female,76,3,2.0,Healthcare Representative,3,,9824,,3,Y,No,19,3,3,80,1,18,4.0,3,1.0,0,,0
37.0,No,Travel_Rarely,446,Research & Development,1.0,4,Life Sciences,1,635,,Female,65,3,2.0,Manufacturing Director,2,Married,6447,15701.0,6,Y,No,12,3,2,80,1,8,2.0,2,6.0,5,,3
49.0,No,Travel_Rarely,1245,Research & Development,18.0,4,Life Sciences,1,638,4.0,Male,58,2,5.0,Research Director,3,Divorced,19502,2125.0,1,Y,Yes,17,3,3,80,1,31,,3,,9,0.0,9
24.0,No,Travel_Rarely,691,Research & Development,,3,Medical,1,639,2.0,Male,89,4,1.0,Research Scientist,4,Married,2725,21630.0,1,Y,Yes,11,3,2,80,2,6,,3,,5,,4
,No,Travel_Rarely,703,Sales,28.0,2,Marketing,1,641,1.0,Male,66,3,,Sales Executive,2,,6272,,1,Y,No,20,4,4,80,2,6,5.0,4,,3,,4
24.0,No,Travel_Rarely,823,Research & Development,17.0,2,Other,1,643,4.0,Male,94,2,1.0,Laboratory Technician,2,Married,2127,,1,Y,No,21,4,4,80,1,1,2.0,3,1.0,0,0.0,0
,No,Travel_Frequently,1246,Human Resources,3.0,3,Medical,1,644,,Male,99,3,5.0,Manager,2,,18200,7999.0,1,Y,No,11,3,3,80,1,32,2.0,3,32.0,5,10.0,7
25.0,No,Travel_Rarely,622,Sales,13.0,1,Medical,1,645,,Male,40,3,1.0,Sales Representative,3,Married,2096,,1,Y,No,11,3,3,80,0,7,1.0,3,7.0,4,0.0,6
,Yes,Travel_Frequently,1287,Research & Development,7.0,3,Life Sciences,1,647,,Female,55,3,1.0,Laboratory Technician,3,Married,2886,,1,Y,Yes,16,3,4,80,1,6,,3,6.0,3,1.0,2
30.0,Yes,Travel_Frequently,448,Sales,,4,Life Sciences,1,648,2.0,Male,74,2,,Sales Representative,1,,2033,14470.0,1,Y,No,18,3,3,80,1,1,2.0,4,1.0,0,0.0,0
,No,Travel_Rarely,254,Research & Development,1.0,2,Life Sciences,1,649,,Male,83,2,1.0,Research Scientist,4,Married,3622,22794.0,1,Y,Yes,13,3,4,80,1,6,,3,,5,1.0,3
,Yes,Travel_Rarely,1365,Sales,,4,Medical,1,650,,Male,46,3,2.0,Sales Executive,1,,4233,,2,Y,No,17,3,3,80,0,9,,1,3.0,1,,2
35.0,No,Travel_Rarely,538,Research & Development,,2,Other,1,652,1.0,Male,54,2,2.0,Laboratory Technician,4,Single,3681,14004.0,4,Y,No,14,3,4,80,0,9,,3,3.0,2,,2
,No,Travel_Rarely,525,Sales,6.0,4,Medical,1,653,1.0,Male,66,4,2.0,Sales Executive,4,Divorced,5460,,4,Y,No,22,4,4,80,2,13,4.0,4,,7,5.0,7
,No,Travel_Rarely,798,Research & Development,6.0,4,Medical,1,655,1.0,Female,66,2,,Research Scientist,3,,2187,5013.0,0,Y,No,12,3,3,80,2,6,,2,5.0,3,0.0,3
37.0,No,Travel_Rarely,558,Sales,,3,Marketing,1,656,4.0,Male,75,3,2.0,Sales Executive,3,Married,9602,,4,Y,Yes,11,3,3,80,1,17,3.0,2,3.0,0,1.0,0
20.0,No,Travel_Rarely,959,Research & Development,1.0,3,Life Sciences,1,657,4.0,Female,83,2,1.0,Research Scientist,2,Single,2836,,1,Y,No,13,3,4,80,0,1,,4,1.0,0,0.0,0
,No,Travel_Rarely,622,Research & Development,2.0,4,Life Sciences,1,659,3.0,Female,81,3,2.0,Healthcare Representative,4,Married,4089,5718.0,1,Y,No,13,3,2,80,2,10,,3,10.0,2,2.0,2
43.0,No,Travel_Rarely,782,Research & Development,6.0,4,Other,1,661,,Male,50,2,,Research Director,4,,16627,2671.0,4,Y,Yes,14,3,3,80,1,21,,2,1.0,0,0.0,0
38.0,No,Travel_Rarely,362,Research & Development,,1,Life Sciences,1,662,3.0,Female,43,3,1.0,Research Scientist,1,,2619,14561.0,3,Y,No,17,3,4,80,0,8,3.0,2,,0,0.0,0
,No,Travel_Frequently,1001,Research & Development,9.0,5,Medical,1,663,4.0,Male,72,3,2.0,Laboratory Technician,3,Divorced,5679,,3,Y,Yes,13,3,2,80,1,10,3.0,3,,7,,7
48.0,No,Travel_Rarely,1236,Research & Development,,4,Life Sciences,1,664,4.0,Female,40,2,4.0,Manager,1,,15402,,7,Y,No,11,3,1,80,1,21,3.0,1,,2,,2
44.0,No,Travel_Rarely,1112,Human Resources,1.0,4,Life Sciences,1,665,1.0,Female,50,2,2.0,Human Resources,3,,5985,26894.0,4,Y,No,11,3,2,80,0,10,1.0,4,,2,0.0,2
,No,Travel_Rarely,204,Sales,,3,Technical Degree,1,666,3.0,Female,31,3,,Sales Representative,3,Divorced,2579,2912.0,1,Y,Yes,18,3,4,80,2,8,3.0,3,8.0,2,,6
,Yes,Travel_Rarely,1420,Sales,,1,Marketing,1,667,,Male,85,3,1.0,Sales Representative,1,,3041,16346.0,0,Y,No,11,3,2,80,1,5,,3,,3,,2
,No,Travel_Rarely,1343,Sales,22.0,1,Technical Degree,1,669,3.0,Male,49,3,1.0,Sales Representative,3,Single,3447,24444.0,1,Y,No,11,3,3,80,0,3,,3,,2,1.0,2
44.0,No,Travel_Rarely,1315,Research & Development,3.0,4,Other,1,671,4.0,Male,35,3,5.0,Manager,4,Married,19513,9358.0,4,Y,Yes,12,3,1,80,1,26,2.0,4,2.0,2,,1
22.0,No,Travel_Rarely,604,Research & Development,6.0,1,Medical,1,675,1.0,Male,69,3,,Research Scientist,3,,2773,,0,Y,No,20,4,4,80,0,3,3.0,3,2.0,2,,2
,No,Travel_Rarely,1216,Sales,8.0,4,Marketing,1,677,3.0,Male,39,3,2.0,Sales Executive,3,Divorced,7104,20431.0,0,Y,No,12,3,4,80,0,6,3.0,3,,0,,2
,No,Travel_Rarely,646,Research & Development,9.0,4,Life Sciences,1,679,,Female,92,3,2.0,Research Scientist,4,Married,6322,18089.0,1,Y,Yes,12,3,4,80,1,6,,2,,4,0.0,5
,No,Travel_Frequently,160,Research & Development,,3,Medical,1,680,3.0,Female,71,3,,Research Scientist,3,Divorced,2083,22653.0,1,Y,No,20,4,3,80,1,1,2.0,3,1.0,0,0.0,0
53.0,No,Travel_Rarely,238,Sales,,1,Medical,1,682,4.0,Female,34,3,2.0,Sales Executive,1,,8381,7507.0,7,Y,No,20,4,4,80,0,18,,4,,7,,10
34.0,No,Travel_Rarely,1397,Research & Development,,5,Life Sciences,1,683,,Male,42,3,,Research Scientist,4,Married,2691,,1,Y,No,12,3,4,80,1,10,4.0,2,,9,,8
45.0,Yes,Travel_Frequently,306,Sales,26.0,4,Life Sciences,1,684,1.0,Female,100,3,,Sales Executive,1,Married,4286,5630.0,2,Y,No,14,3,4,80,2,5,4.0,3,,1,0.0,0
,No,Travel_Rarely,991,Research & Development,6.0,3,Life Sciences,1,686,,Female,71,3,1.0,Laboratory Technician,4,Married,2659,,1,Y,Yes,13,3,3,80,1,3,2.0,3,3.0,2,,2
37.0,No,Travel_Rarely,482,Research & Development,3.0,3,Other,1,689,3.0,Male,36,3,3.0,Manufacturing Director,3,,9434,9606.0,1,Y,No,15,3,3,80,1,10,2.0,3,10.0,7,,8
,No,Travel_Rarely,1176,Sales,3.0,2,Medical,1,690,2.0,Female,62,3,2.0,Sales Executive,3,,5561,,1,Y,No,14,3,1,80,1,6,5.0,2,,0,1.0,2
,No,Travel_Rarely,1017,Research & Development,,4,Life Sciences,1,691,,Male,82,1,2.0,Research Scientist,4,Single,6646,19368.0,1,Y,No,13,3,2,80,0,17,3.0,3,17.0,11,,8
33.0,No,Travel_Frequently,1296,Research & Development,,3,Life Sciences,1,692,3.0,Male,30,3,2.0,Healthcare Representative,4,Divorced,7725,5335.0,3,Y,No,23,4,3,80,1,15,,1,13.0,11,4.0,7
54.0,No,Travel_Rarely,397,Human Resources,19.0,4,Medical,1,698,,Male,88,3,3.0,Human Resources,2,Married,10725,6729.0,2,Y,No,15,3,3,80,1,16,1.0,4,,7,,1
36.0,No,Travel_Rarely,913,Research & Development,9.0,2,Medical,1,699,,Male,48,2,2.0,Manufacturing Director,2,Divorced,8847,,2,Y,Yes,11,3,3,80,1,13,2.0,3,3.0,2,,2
27.0,No,Travel_Rarely,1115,Research & Development,,4,Medical,1,700,,Male,54,2,,Research Scientist,4,Single,2045,,0,Y,No,13,3,4,80,0,5,,3,,2,1.0,1
20.0,Yes,Travel_Rarely,1362,Research & Development,,1,Medical,1,701,4.0,Male,32,3,1.0,Research Scientist,3,Single,1009,26999.0,1,Y,Yes,11,3,4,80,0,1,,3,,0,,1
33.0,Yes,Travel_Frequently,1076,Research & Development,,3,Life Sciences,1,702,1.0,Male,70,3,,Research Scientist,1,Single,3348,3164.0,1,Y,Yes,11,3,1,80,0,10,,3,,8,,7
35.0,No,Non-Travel,727,Research & Development,3.0,3,Life Sciences,1,704,,Male,41,2,1.0,Laboratory Technician,3,Married,1281,,1,Y,No,18,3,3,80,2,1,3.0,3,,0,,0
,No,Travel_Rarely,885,Research & Development,4.0,3,Medical,1,705,,Male,58,4,1.0,Research Scientist,1,,2819,,2,Y,No,16,3,1,80,1,5,,4,3.0,2,0.0,2
,No,Travel_Rarely,810,Sales,8.0,3,Life Sciences,1,707,4.0,Male,57,4,2.0,Sales Executive,2,,4851,,0,Y,No,22,4,3,80,1,4,4.0,3,,2,,2
38.0,No,Travel_Rarely,243,Sales,7.0,4,Marketing,1,709,4.0,Female,46,2,,Sales Executive,4,Single,4028,,0,Y,No,20,4,1,80,0,8,2.0,3,,7,0.0,5
,No,Travel_Frequently,806,Research & Development,1.0,4,Life Sciences,1,710,,Male,76,1,,Research Scientist,4,,2720,18959.0,1,Y,No,18,3,4,80,1,10,,3,10.0,7,,8
,No,Travel_Rarely,817,Sales,2.0,1,Marketing,1,712,,Male,56,4,2.0,Sales Executive,2,Married,8120,,3,Y,No,12,3,4,80,0,12,,3,,2,2.0,2
,No,Travel_Frequently,1410,Sales,,1,Medical,1,714,,Female,71,4,2.0,Sales Executive,4,,4647,16673.0,1,Y,Yes,20,4,2,80,2,6,,3,,5,,4
37.0,No,Travel_Rarely,1225,Research & Development,,2,Life Sciences,1,715,4.0,Male,80,4,,Research Scientist,4,,4680,,3,Y,No,17,3,1,80,0,4,,3,1.0,0,0.0,0
50.0,No,Travel_Rarely,1207,Research & Development,28.0,1,Medical,1,716,4.0,Male,74,4,1.0,Laboratory Technician,3,Married,3221,3297.0,1,Y,Yes,11,3,3,80,3,20,3.0,3,,8,3.0,8
34.0,No,Travel_Rarely,1442,Research & Development,9.0,3,Medical,1,717,4.0,Female,46,2,3.0,Healthcare Representative,2,,8621,,1,Y,No,14,3,2,80,0,9,3.0,4,,7,7.0,7
